agency_id,toptier_code,abbreviation,agency_name,congressional_justification_url,active_fy,active_fq,outlay_amount,obligated_amount,budget_authority_amount,current_total_budget_authority_amount,percentage_of_total_budget_authority,agency_slug
1146,310,USAB,Access Board,https://www.access-board.gov/cj,2023,4,8452843.81,6790794.43,11458971.28,13615337201704.1,8.416222903804242e-07,access-board
1136,302,ACUS,Administrative Conference of the U.S.,https://www.acus.gov/cj,2023,4,2954764.7,2991177.49,3832204.39,13615337201704.1,2.814623195318556e-07,administrative-conference-of-the-us
1144,306,ACHP,Advisory Council on Historic Preservation,https://www.achp.gov/sites/default/files/2021-06/ACHP%202022%20Budget%20Justification-final-5-10-21.pdf,2023,4,9553656.72,9994503.24,14075759.63,13615337201704.1,1.0338164543025988e-06,advisory-council-on-historic-preservation
1527,166,USADF,African Development Foundation,https://www.usadf.gov/cj,2023,4,33803774.31,43838748.52,77663536.86,13615337201704.1,5.70412144109656e-06,african-development-foundation
801,072,USAID,Agency for International Development,https://www.usaid.gov/cj,2023,4,34910138179.24,30605562974.66,49766278369.82,13615337201704.1,0.0036551631173402915,agency-for-international-development
805,074,ABMC,American Battle Monuments Commission,https://www.abmc.gov/cj,2023,4,95922224.82,91285164.93,146867788.92,13615337201704.1,1.078693731519319e-05,american-battle-monuments-commission
1416,309,ARC,Appalachian Regional Commission,https://www.arc.gov/cj,2023,4,136700071.7,146658193.56,736005786.91,13615337201704.1,5.4057110448787216e-05,appalachian-regional-commission
879,084,AFRH,Armed Forces Retirement Home,,2023,4,168989210.34,165597002.04,290869821.27,13615337201704.1,2.13633946013173e-05,armed-forces-retirement-home
1159,313,GOLDWATER,Barry Goldwater Scholarship and Excellence In Education Foundation,http://goldwaterscholarship.gov/,2023,4,732416.49,644288.01,35859967.15,13615337201704.1,2.6337920698366365e-06,barry-goldwater-scholarship-and-excellence-in-education-foundation
1426,321,HERITAGEABROAD,Commission for the Preservation of America's Heritage Abroad,https://www.heritageabroad.gov/cj,2023,4,653164.75,552943.61,1073434.02,13615337201704.1,7.884006132919343e-08,commission-for-the-preservation-of-americas-heritage-abroad
1149,323,CFA,Commission of Fine Arts,https://www.cfa.gov/cj,2023,4,7924707.44,8246834.04,9282806.76,13615337201704.1,6.817904413588935e-07,commission-of-fine-arts
1138,326,USCCR,Commission on Civil Rights,https://www.usccr.gov/cj/,2023,4,11149439.75,10970846.96,16167137.15,13615337201704.1,1.18742098785306e-06,commission-on-civil-rights
1139,338,ABILITYONE,Committee for Purchase from People Who Are Blind or Severely Disabled,https://www.abilityone.gov/cj,2023,4,8636016.35,10074752.46,17219805.57,13615337201704.1,1.2647358868089411e-06,committee-for-purchase-from-people-who-are-blind-or-severely-disabled
1129,339,CFTC,Commodity Futures Trading Commission,https://www.cftc.gov/cj,2023,4,317804867.47,323569802.83,686096157.32,13615337201704.1,5.0391418674091163e-05,commodity-futures-trading-commission
