"budget_function_title","fr_entity_description","reporting_period_end","total_budgetary_resources_amount_cpe","gross_outlay_amount_by_tas_cpe","unobligated_balance_cpe","status_of_budgetary_resources_total_cpe"
"International Affairs","United States Agency for Global Media","2024-08-31","13200000.00","13200000.00","0.00","13200000.00"
"International Affairs","United States Agency for Global Media","2024-08-31","10675940.90","113019.75","10576388.44","10675940.90"
"Natural Resources and Environment","Department of State","2024-08-31","3000000.00","0.00","3000000.00","3000000.00"
"International Affairs","United States Agency for Global Media","2024-08-31","3627454.68","97076633.70","1352716.92","3627454.68"
"International Affairs","United States Agency for Global Media","2024-08-31","10276091.50","6592409.49","10028482.40","10276091.50"
"International Affairs","United States Agency for Global Media","2024-08-31","150000.00","0.00","150000.00","150000.00"
"International Affairs","Department of State","2024-08-31","0.00","260.38","0.00","0.00"
"Transportation","Department of Transportation","2024-08-31","78133491.00","0.00","78133491.00","78133491.00"
"International Affairs","United States Agency for Global Media","2024-08-31","798301374.00","643851198.70","75521155.02","798301374.00"
"International Affairs","United States Agency for Global Media","2024-08-31","10691010.27","5444423.02","5144740.45","10691010.27"
"International Affairs","United States Agency for Global Media","2024-08-31","1060000.00","10179.30","729337.78","1060000.00"
"International Affairs","United States Agency for Global Media","2024-08-31","13932396.73","10481853.97","1492637.75","13932396.73"
"International Affairs","United States Agency for Global Media","2024-08-31","8682865.82","248919.40","8583656.23","8682865.82"
"International Affairs","United States Agency for Global Media","2024-08-31","32507.36","258678.58","4315.22","32507.36"
"International Affairs","Department of State","2024-08-31","0.00","44731.72","0.00","0.00"
"Natural Resources and Environment","Environmental Protection Agency","2024-08-31","502373.59","0.00","399426.59","502373.59"
"International Affairs","Export-Import Bank of the United States","2024-08-31","0.00","0.00","0.00","0.00"
"Transportation","Department of Transportation","2024-08-31","0.00","0.00","0.00","0.00"
"International Affairs","United States Agency for Global Media","2024-08-31","37098910.34","4957798.81","35108143.22","37098910.34"
"International Affairs","United States Agency for Global Media","2024-08-31","137000.00","164132.00","137000.00","137000.00"
