"budget_function_title","fr_entity_description","reporting_period_end","total_budgetary_resources_amount_cpe","gross_outlay_amount_by_tas_cpe","unobligated_balance_cpe","status_of_budgetary_resources_total_cpe","omnibus_flag"
"General Government","Office of Special Counsel","2017-03-31","0.00","0.00","0.00","0.00","Non-Omnibus"
"National Defense","Department of Defense","2017-03-31","62526237.90","16149755.65","60424265.05","62526237.90","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","278635.13","0.00","278635.13","278635.13","Non-Omnibus"
"National Defense","Department of Defense","2017-03-31","0.00","0.00","0.00","0.00","Non-Omnibus"
"General Science, Space, and Technology","National Science Foundation","2017-03-31","2507154.00","1530608.94","644993.37","2507154.00","Non-Omnibus"
"National Defense","Department of Defense","2017-03-31","580598.36","349.29","33505.28","580598.36","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","27738000.00","18583167.60","7054337.43","27738000.00","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","421004.83","4014.34","421004.83","421004.83","Non-Omnibus"
"Energy","Department of Energy","2017-03-31","1307393.28","1411.70","1307393.28","1307393.28","Non-Omnibus"
"National Defense","Department of Defense","2017-03-31","81192000000.00","81192000000.00","0.00","81192000000.00","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","0.00","88438.58","0.00","0.00","Non-Omnibus"
"Natural Resources and Environment","Environmental Protection Agency","2017-03-31","30005165.50","19315172.16","8897037.01","30005165.50","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","328606.87","1588948.15","73837.76","328606.87","Non-Omnibus"
"Energy","Department of Energy","2017-03-31","94036.96","0.00","94036.96","94036.96","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","1177200.11","5116511.56","436414.60","1177200.11","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","37849.00","21614.43","37849.00","37849.00","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","0.00","104382.29","0.00","0.00","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","709984.69","0.00","709984.69","709984.69","Non-Omnibus"
"Education, Training, Employment, and Social Services","Federal Mediation and Conciliation Service","2017-03-31","5314368.66","1110303.63","4211439.84","5314368.66","Non-Omnibus"
"Transportation","Department of Transportation","2017-03-31","242095.45","35808.68","242095.45","242095.45","Non-Omnibus"
