"table_schema","table_name","key_column","constraint_type"
"int","duns","broker_duns_id","PRIMARY KEY"
"int","transaction_delta","transaction_id","PRIMARY KEY"
"public","agency","subtier_agency_id","FOREIGN KEY"
"public","agency","toptier_agency_id","FOREIGN KEY"
"public","agency","id","PRIMARY KEY"
"public","appropriation_account_balances","submission_id","FOREIGN KEY"
"public","appropriation_account_balances","treasury_account_identifier","FOREIGN KEY"
"public","appropriation_account_balances","appropriation_account_balances_id","PRIMARY KEY"
"public","auth_group","id","PRIMARY KEY"
"public","auth_group_permissions","permission_id","FOREIGN KEY"
"public","auth_group_permissions","group_id","FOREIGN KEY"
"public","auth_group_permissions","id","PRIMARY KEY"
"public","auth_permission","content_type_id","FOREIGN KEY"
"public","auth_permission","id","PRIMARY KEY"
"public","auth_user","id","PRIMARY KEY"
"public","auth_user_groups","group_id","FOREIGN KEY"
"public","auth_user_groups","user_id","FOREIGN KEY"
"public","auth_user_groups","id","PRIMARY KEY"
"public","auth_user_user_permissions","user_id","FOREIGN KEY"
"public","auth_user_user_permissions","permission_id","FOREIGN KEY"
"public","auth_user_user_permissions","id","PRIMARY KEY"
"public","budget_authority","id","PRIMARY KEY"
"public","bureau_title_lookup","federal_account_code","PRIMARY KEY"
"public","cgac","cgac_code","PRIMARY KEY"
"public","dabs_loader_queue","submission_id","PRIMARY KEY"
"public","dabs_submission_window_schedule","id","PRIMARY KEY"
"public","disaster_emergency_fund_code","code","PRIMARY KEY"
"public","django_admin_log","content_type_id","FOREIGN KEY"
"public","django_admin_log","user_id","FOREIGN KEY"
"public","django_admin_log","id","PRIMARY KEY"
"public","django_content_type","id","PRIMARY KEY"
"public","django_migrations","id","PRIMARY KEY"
"public","django_session","session_key","PRIMARY KEY"
"public","download_job","job_status_id","FOREIGN KEY"
"public","download_job","download_job_id","PRIMARY KEY"
"public","download_job_lookup","id","PRIMARY KEY"
"public","external_data_load_date","external_data_type_id","FOREIGN KEY"
"public","external_data_load_date","external_data_load_date_id","PRIMARY KEY"
"public","external_data_type","external_data_type_id","PRIMARY KEY"
"public","federal_account","parent_toptier_agency_id","FOREIGN KEY"
"public","federal_account","id","PRIMARY KEY"
"public","filter_hash","id","PRIMARY KEY"
"public","financial_accounts_by_awards","object_class_id","FOREIGN KEY"
"public","financial_accounts_by_awards","disaster_emergency_fund_code","FOREIGN KEY"
"public","financial_accounts_by_awards","program_activity_id","FOREIGN KEY"
"public","financial_accounts_by_awards","treasury_account_id","FOREIGN KEY"
"public","financial_accounts_by_awards","submission_id","FOREIGN KEY"
"public","financial_accounts_by_awards","financial_accounts_by_awards_id","PRIMARY KEY"
"public","financial_accounts_by_program_activity_object_class","treasury_account_id","FOREIGN KEY"
"public","financial_accounts_by_program_activity_object_class","disaster_emergency_fund_code","FOREIGN KEY"
"public","financial_accounts_by_program_activity_object_class","object_class_id","FOREIGN KEY"
"public","financial_accounts_by_program_activity_object_class","program_activity_id","FOREIGN KEY"
"public","financial_accounts_by_program_activity_object_class","submission_id","FOREIGN KEY"
"public","financial_accounts_by_program_activity_object_class","financial_accounts_by_program_activity_object_class_id","PRIMARY KEY"
"public","frec","frec_code","PRIMARY KEY"
"public","frec_map","id","PRIMARY KEY"
"public","gtas_sf133_balances","treasury_account_identifier","FOREIGN KEY"
"public","gtas_sf133_balances","disaster_emergency_fund_code","FOREIGN KEY"
"public","gtas_sf133_balances","id","PRIMARY KEY"
"public","historic_parent_duns","broker_historic_duns_id","PRIMARY KEY"
"public","historical_appropriation_account_balances","owning_toptier_agency_id","FOREIGN KEY"
"public","historical_appropriation_account_balances","historical_appropriation_account_balances_id","PRIMARY KEY"
"public","job_status","job_status_id","PRIMARY KEY"
"public","naics","code","PRIMARY KEY"
"public","object_class","id","PRIMARY KEY"
"public","office","id","PRIMARY KEY"
"public","overall_totals","id","PRIMARY KEY"
"public","psc","code","PRIMARY KEY"
"public","ref_city_county_state_code","id","PRIMARY KEY"
"public","ref_country_code","country_code","PRIMARY KEY"
"public","ref_population_cong_district","id","PRIMARY KEY"
"public","ref_population_county","id","PRIMARY KEY"
"public","ref_program_activity","id","PRIMARY KEY"
"public","references_cfda","id","PRIMARY KEY"
"public","references_definition","id","PRIMARY KEY"
"public","reporting_agency_missing_tas","reporting_agency_missing_tas_id","PRIMARY KEY"
"public","reporting_agency_overview","reporting_agency_overview_id","PRIMARY KEY"
"public","reporting_agency_tas","reporting_agency_tas_id","PRIMARY KEY"
"public","rest_framework_tracking_apirequestlog","user_id","FOREIGN KEY"
"public","rest_framework_tracking_apirequestlog","id","PRIMARY KEY"
"public","rosetta","document_name","PRIMARY KEY"
"public","state_data","id","PRIMARY KEY"
"public","submission_attributes","submission_window_id","FOREIGN KEY"
"public","submission_attributes","submission_id","PRIMARY KEY"
"public","subtier_agency","subtier_agency_id","PRIMARY KEY"
"public","toptier_agency","toptier_agency_id","PRIMARY KEY"
"public","treasury_appropriation_account","funding_toptier_agency_id","FOREIGN KEY"
"public","treasury_appropriation_account","federal_account_id","FOREIGN KEY"
"public","treasury_appropriation_account","awarding_toptier_agency_id","FOREIGN KEY"
"public","treasury_appropriation_account","treasury_account_identifier","PRIMARY KEY"
"public","uei_crosswalk","id","PRIMARY KEY"
"public","uei_crosswalk_2021","id","PRIMARY KEY"
"raw","source_assistance_transaction","published_fabs_id","PRIMARY KEY"
"raw","source_procurement_transaction","detached_award_procurement_id","PRIMARY KEY"
"rpt","covid_faba_spending","id","PRIMARY KEY"
"rpt","parent_award","parent_award_id","FOREIGN KEY"
"rpt","parent_award","award_id","PRIMARY KEY"
"rpt","recipient_lookup","id","PRIMARY KEY"
"rpt","recipient_profile","id","PRIMARY KEY"
"rpt","subaward_search","broker_subaward_id","PRIMARY KEY"
