"data_source","appropriation_account_balances_id","budget_authority_unobligated_balance_brought_forward_fyb","adjustments_to_unobligated_balance_brought_forward_cpe","budget_authority_appropriated_amount_cpe","borrowing_authority_amount_total_cpe","contract_authority_amount_total_cpe","spending_authority_from_offsetting_collections_amount_cpe","other_budgetary_resources_amount_cpe","total_budgetary_resources_amount_cpe","gross_outlay_amount_by_tas_cpe","deobligations_recoveries_refunds_by_tas_cpe","unobligated_balance_cpe","status_of_budgetary_resources_total_cpe","obligations_incurred_total_by_tas_cpe","drv_appropriation_availability_period_start_date","drv_appropriation_availability_period_end_date","drv_appropriation_account_expired_status","drv_obligations_unpaid_amount","drv_other_obligated_amount","reporting_period_start","reporting_period_end","last_modified_date","certified_date","create_date","update_date","final_of_fy","submission_id","treasury_account_identifier"
"DBR",262923,"807556.02","0.00","0.00","0.00","0.00","0.00","0.00","807556.02","0.00","0.00","807556.02","807556.02","0.00",NULL,NULL,NULL,NULL,NULL,"2018-01-01","2018-03-31",NULL,NULL,"2021-03-09 09:51:58.436266-05","2021-03-09 09:51:58.436297-05",False,9663,57055
"DBR",262924,"870442.53","0.00","0.00","0.00","0.00","0.00","0.00","870442.53","0.00","0.00","870442.53","870442.53","0.00",NULL,NULL,NULL,NULL,NULL,"2018-01-01","2018-03-31",NULL,NULL,"2021-03-09 09:51:58.436525-05","2021-03-09 09:51:58.436546-05",False,9663,60130
"DBR",262925,"821408.03","1260.00","0.00","0.00","0.00","0.00","0.00","822668.03","0.00","1260.00","822668.03","822668.03","0.00",NULL,NULL,NULL,NULL,NULL,"2018-01-01","2018-03-31",NULL,NULL,"2021-03-09 09:51:58.436763-05","2021-03-09 09:51:58.436782-05",False,9663,63002
"DBR",262926,"794352.55","0.00","0.00","0.00","0.00","0.00","0.00","794352.55","22256.12","0.00","794352.55","794352.55","0.00",NULL,NULL,NULL,NULL,NULL,"2018-01-01","2018-03-31",NULL,NULL,"2021-03-09 09:51:58.437018-05","2021-03-09 09:51:58.43704-05",False,9663,65521
"DBR",262927,"1388843.04","239382.54","0.00","0.00","0.00","0.00","0.00","1628225.58","2850993.70","239382.54","1467665.87","1628225.58","160559.71",NULL,NULL,NULL,NULL,NULL,"2018-01-01","2018-03-31",NULL,NULL,"2021-03-09 09:51:58.437261-05","2021-03-09 09:51:58.437281-05",False,9663,69746
"DBR",262928,"0.00","0.00","7668145.00","0.00","0.00","0.00","0.00","7668145.00","3712739.61","0.00","2219912.26","7668145.00","5448232.74",NULL,NULL,NULL,NULL,NULL,"2018-01-01","2018-03-31",NULL,NULL,"2021-03-09 09:51:58.437495-05","2021-03-09 09:51:58.437515-05",False,9663,72867
"DBR",390030,"0.00","0.00","1029000000.00","0.00","0.00","10000000.00","10000000.00","1039000000.00","9392924.52","0.00","469116692.83","1039000000.00","569883307.17",NULL,NULL,NULL,NULL,NULL,"2021-07-01","2021-07-31",NULL,NULL,"2021-11-13 01:27:12.574748-05","2021-11-13 01:27:12.57476-05",False,41112,79836
"DBR",390031,"0.00","0.00","6862529000.00","0.00","0.00","125000000.00","125000000.00","6987529000.00","378347790.03","0.00","2938394001.07","6987529000.00","4049134998.93",NULL,NULL,NULL,NULL,NULL,"2021-07-01","2021-07-31",NULL,NULL,"2021-11-13 01:27:12.574843-05","2021-11-13 01:27:12.574849-05",False,41112,79834
"DBR",262929,"7142552.71","135972.49","0.00","0.00","0.00","1300000.00","1300000.00","8578525.20","229231.72","15972.49","8259421.33","8578525.20","319103.87",NULL,NULL,NULL,NULL,NULL,"2018-04-01","2018-06-30",NULL,NULL,"2021-03-09 09:52:05.015819-05","2021-03-09 09:52:05.015854-05",False,12455,20142
"DBR",262930,"1997884.00","0.00","0.00","0.00","0.00","0.00","0.00","1997884.00","0.00","0.00","1997884.00","1997884.00","0.00",NULL,NULL,NULL,NULL,NULL,"2018-04-01","2018-06-30",NULL,NULL,"2021-03-09 09:52:05.016105-05","2021-03-09 09:52:05.016127-05",False,12455,20143
