"table_name","column_name","data_type"
"agency","id","integer"
"agency","create_date","timestamp with time zone"
"agency","update_date","timestamp with time zone"
"agency","toptier_flag","boolean"
"agency","subtier_agency_id","integer"
"agency","toptier_agency_id","integer"
"agency","user_selectable","boolean"
"appropriation_account_balances","data_source","text"
"appropriation_account_balances","appropriation_account_balances_id","integer"
"appropriation_account_balances","budget_authority_unobligated_balance_brought_forward_fyb","numeric"
"appropriation_account_balances","adjustments_to_unobligated_balance_brought_forward_cpe","numeric"
"appropriation_account_balances","budget_authority_appropriated_amount_cpe","numeric"
"appropriation_account_balances","borrowing_authority_amount_total_cpe","numeric"
"appropriation_account_balances","contract_authority_amount_total_cpe","numeric"
"appropriation_account_balances","spending_authority_from_offsetting_collections_amount_cpe","numeric"
"appropriation_account_balances","other_budgetary_resources_amount_cpe","numeric"
"appropriation_account_balances","total_budgetary_resources_amount_cpe","numeric"
"appropriation_account_balances","gross_outlay_amount_by_tas_cpe","numeric"
"appropriation_account_balances","deobligations_recoveries_refunds_by_tas_cpe","numeric"
"appropriation_account_balances","unobligated_balance_cpe","numeric"
"appropriation_account_balances","status_of_budgetary_resources_total_cpe","numeric"
"appropriation_account_balances","obligations_incurred_total_by_tas_cpe","numeric"
"appropriation_account_balances","drv_appropriation_availability_period_start_date","date"
"appropriation_account_balances","drv_appropriation_availability_period_end_date","date"
"appropriation_account_balances","drv_appropriation_account_expired_status","text"
"appropriation_account_balances","drv_obligations_unpaid_amount","numeric"
"appropriation_account_balances","drv_other_obligated_amount","numeric"
"appropriation_account_balances","reporting_period_start","date"
"appropriation_account_balances","reporting_period_end","date"
"appropriation_account_balances","last_modified_date","date"
"appropriation_account_balances","certified_date","date"
"appropriation_account_balances","create_date","timestamp with time zone"
"appropriation_account_balances","update_date","timestamp with time zone"
"appropriation_account_balances","final_of_fy","boolean"
"appropriation_account_balances","submission_id","integer"
"appropriation_account_balances","treasury_account_identifier","integer"
"auth_group","id","integer"
"auth_group","name","character varying"
"auth_group_permissions","id","integer"
"auth_group_permissions","group_id","integer"
"auth_group_permissions","permission_id","integer"
"auth_permission","id","integer"
"auth_permission","name","character varying"
"auth_permission","content_type_id","integer"
"auth_permission","codename","character varying"
"auth_user","id","integer"
"auth_user","password","character varying"
"auth_user","last_login","timestamp with time zone"
"auth_user","is_superuser","boolean"
"auth_user","username","character varying"
"auth_user","first_name","character varying"
"auth_user","last_name","character varying"
"auth_user","email","character varying"
"auth_user","is_staff","boolean"
"auth_user","is_active","boolean"
"auth_user","date_joined","timestamp with time zone"
"auth_user_groups","id","integer"
"auth_user_groups","user_id","integer"
"auth_user_groups","group_id","integer"
"auth_user_user_permissions","id","integer"
"auth_user_user_permissions","user_id","integer"
"auth_user_user_permissions","permission_id","integer"
"award_category","type_code","text"
"award_category","type_name","text"
"budget_authority","id","integer"
"budget_authority","agency_identifier","text"
"budget_authority","fr_entity_code","text"
"budget_authority","year","integer"
"budget_authority","amount","bigint"
"bureau_title_lookup","federal_account_code","text"
"bureau_title_lookup","bureau_title","text"
"bureau_title_lookup","bureau_slug","text"
"c_to_d_linkage_updates","financial_accounts_by_awards_id","integer"
"c_to_d_linkage_updates","award_id","bigint"
"cgac","cgac_code","text"
"cgac","agency_name","text"
"cgac","agency_abbreviation","text"
"cgac","is_frec_agency","boolean"
"dabs_loader_queue","submission_id","integer"
"dabs_loader_queue","state","text"
"dabs_loader_queue","force_reload","boolean"
"dabs_loader_queue","processor_id","text"
"dabs_loader_queue","processing_started","timestamp with time zone"
"dabs_loader_queue","heartbeat","timestamp with time zone"
"dabs_loader_queue","processing_failed","timestamp with time zone"
"dabs_loader_queue","exception","text"
"dabs_submission_window_schedule","id","integer"
"dabs_submission_window_schedule","period_start_date","timestamp with time zone"
"dabs_submission_window_schedule","period_end_date","timestamp with time zone"
"dabs_submission_window_schedule","submission_start_date","timestamp with time zone"
"dabs_submission_window_schedule","submission_due_date","timestamp with time zone"
"dabs_submission_window_schedule","certification_due_date","timestamp with time zone"
"dabs_submission_window_schedule","submission_reveal_date","timestamp with time zone"
"dabs_submission_window_schedule","submission_fiscal_year","integer"
"dabs_submission_window_schedule","submission_fiscal_quarter","integer"
"dabs_submission_window_schedule","submission_fiscal_month","integer"
"dabs_submission_window_schedule","is_quarter","boolean"
"disaster_emergency_fund_code","public_law","text"
"disaster_emergency_fund_code","title","text"
"disaster_emergency_fund_code","group_name","text"
"disaster_emergency_fund_code","create_date","timestamp with time zone"
"disaster_emergency_fund_code","update_date","timestamp with time zone"
"disaster_emergency_fund_code","urls","text"
"disaster_emergency_fund_code","code","text"
"disaster_emergency_fund_code","earliest_public_law_enactment_date","date"
"django_admin_log","id","integer"
"django_admin_log","action_time","timestamp with time zone"
"django_admin_log","object_id","text"
"django_admin_log","object_repr","character varying"
"django_admin_log","action_flag","smallint"
"django_admin_log","change_message","text"
"django_admin_log","content_type_id","integer"
"django_admin_log","user_id","integer"
